subject,count,link
"united states--history--civil war, 1861-1865--desertions",2,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865--desertions"
"united states--history--civil war, 1861-1865--correspondence",2,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865--correspondence"
"united states--history--civil war, 1861-1865--health aspects",2,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865--health%20aspects"
"united states--history--civil war, 1861-1865",2,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20states--history--civil%20war,%201861-1865"
"tourism--north carolina",2,"https://she-changed-world.cb.ncpedia.org/browse.html#tourism--north%20carolina"
"handicraft",2,"https://she-changed-world.cb.ncpedia.org/browse.html#handicraft"
"palmer memorial institute (sedalia, n.c.)--history",2,"https://she-changed-world.cb.ncpedia.org/browse.html#palmer%20memorial%20institute%20(sedalia,%20n.c.)--history"
"education, humanistic--north carolina",2,"https://she-changed-world.cb.ncpedia.org/browse.html#education,%20humanistic--north%20carolina"
"brown, charlotte hawkins, 1883--1961",2,"https://she-changed-world.cb.ncpedia.org/browse.html#brown,%20charlotte%20hawkins,%201883--1961"
"teachers",2,"https://she-changed-world.cb.ncpedia.org/browse.html#teachers"
"labor laws and legislation",2,"https://she-changed-world.cb.ncpedia.org/browse.html#labor%20laws%20and%20legislation"
"world war, 1914-1918--women",2,"https://she-changed-world.cb.ncpedia.org/browse.html#world%20war,%201914-1918--women"
"women poets",2,"https://she-changed-world.cb.ncpedia.org/browse.html#women%20poets"
"education & culture",2,"https://she-changed-world.cb.ncpedia.org/browse.html#education%20&%20culture"
"discrimination",2,"https://she-changed-world.cb.ncpedia.org/browse.html#discrimination"
"income distribution",2,"https://she-changed-world.cb.ncpedia.org/browse.html#income%20distribution"
"communities",2,"https://she-changed-world.cb.ncpedia.org/browse.html#communities"
"voting",2,"https://she-changed-world.cb.ncpedia.org/browse.html#voting"
"women--north carolina--biography",2,"https://she-changed-world.cb.ncpedia.org/browse.html#women--north%20carolina--biography"
"united war work campaign, inc.",2,"https://she-changed-world.cb.ncpedia.org/browse.html#united%20war%20work%20campaign,%20inc."
"women--north carolina",2,"https://she-changed-world.cb.ncpedia.org/browse.html#women--north%20carolina"
"civil rights movements--north carolina--history--20th century",2,"https://she-changed-world.cb.ncpedia.org/browse.html#civil%20rights%20movements--north%20carolina--history--20th%20century"
"african americans--civil rights",2,"https://she-changed-world.cb.ncpedia.org/browse.html#african%20americans--civil%20rights"
"north carolina--social conditions--20th century",2,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--social%20conditions--20th%20century"
"north carolina--race relations--history--20th century",2,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20carolina--race%20relations--history--20th%20century"
"civil rights demonstrations--north carolina",2,"https://she-changed-world.cb.ncpedia.org/browse.html#civil%20rights%20demonstrations--north%20carolina"
"world war, 1939-1945",2,"https://she-changed-world.cb.ncpedia.org/browse.html#world%20war,%201939-1945"
"north caroliniana",2,"https://she-changed-world.cb.ncpedia.org/browse.html#north%20caroliniana"
